Speaker,Dialogue
JACK,"No worries, mates.  I'll handle this. Tia Dalma and I go way back.  Thick as thieves.  Nigh inseparable, we were...have been ... before."
JACK,It's me front I'm worried about. Jack starts to climb.  Gibbs follows --
JACK,There will be no knowing here. We came here for help. He ushers Tia Dalma back toward the table. JACK   I thought I knew you.
JACK,"It's not so much for me, as for William, so he can earn a favor from me."
JACK,"I brought payment! Jack lifts the object from the Pintel, unveils it -- a cage, and trapped inside, the Screeching MONKEY.  Jack shoots it. The Monkey takes the bullet, glares at Jack. JACK  See?  Perhaps you can give it the crocodile treatment? Tia Dalma opens the cage.  The Monkey runs free."
JACK,No. Tia Dalma laughs.
JACK,A woman.
JACK,That was a roundabout way to get to the answer.
JACK,"No, I didn't. I didn't know where the key was -- Jack stands up, resolved and ready to go. JACK  But now we do, so all that is left is to slip aboard the Flying Dutchman, take the key, and then you can go back to Port Royal and save your bonnie lass. Will scowls, thinking of the task ahead. Jack starts off --"
JACK,"My eyesight is as good as ever, just so you know. Gibbs leans in, sees the Spot -- and starts brushing away evil, the way Jack did, turns three times widdershins.  Pintel and Ragetti quickly mimic Gibbs, just in case. Tia Dalma regards the Black Spot with respect.  She crosses to a stairway, climbs.  Opens a carved door at the top -- The SOUND OF THE OCEAN whispers down. Gibbs glances at Jack -- that's weird, right? Jack nods, yeah, it's weird. Ragetti peeks up the stairs ... the room above is dark, he sees only a PAIR OF EMPTY BOOTS at the door, the Monkey staring at them. Tia Dalma closes the door. The sound of the sea is gone. 46."
JACK,Dirt.  This is a jar of dirt
JACK,Is the jar of dirt going to help?
JACK,No!
JACK,Neither do you.  Don't underestimate her. Gibbs is pointedly silent. Jack looks at him to say something.
JACK, What's your plan?
JACK,If there are crewmen?
JACK,"I like it. Simple and easy to remember. AT THE RAIL, Will glances at the cloth and the imprint of the key, stashes it in his pocket."
JACK,"Yes. If you do get captured, just say, ""Jack Sparrow sent me to settle his debt."" It might save your life."
JACK, Douse the lamps. 78
JACK,Technically I was only captain for two years -- then I was viciously mutinied upon.
JACK,"Not that I recall, why do you ask?  You have my payment. One soul, to serve on your ship. He is already over there. Jones face twists -- a combination of anger and incredulity."
JACK,"There is precedent regarding servitude, according to the code of the Brethen --"
JACK,"Ah, so we've established the proposal is sound in principle. Now we're just haggling over price. 53."
JACK,Just how many souls do you think my soul is worth? Davy Jones rubs his octopus beard ... and smiles.
JACK,"You're a diamond, mate.  Send me back the boy, I'll get started, right off. Jones is not inclined to do Jack any favors."
JACK,"What? Have you met Will Turner? He's noble and heroic, a terrific soprano ... he's worth at least four. Jones is unmoved. JACK  And ... did I mention he is in love?"
JACK,Due to be married. To a lovely young lady. You hate that malarky. Jones shoots Jack a keen look.
JACK,Not remotely ... but I could be if it helps make the deal. 54.
JACK,Yep.
JACK,I'm good with it. Shall we seal it in blood? I mean ink? Jones' face darkens.
JACK,"Agreed. They shake hands. JACK  I'd embrace you but I fear it might stick. Jack lifts his hand to eye-level ... and the BLACK SPOT FADES. He looks past his hand -- Jones is gone. Jack looks around -- Jones' men are gone. Jack moves to the railing. He stares out at the Flying Dutchman, as it is already sailing off, into a distant storm. JACK  Gibbs, what is the worth of a man's soul?"
JACK,Three days. 86
JACK,How are we doing?
JACK,I make no promises.
JACK,You're hired.
JACK,Time to go.
JACK,"Come to join my crew, lad? Well enough, welcome aboard."
JACK,"I'm deeply flattered, son, but my first and only love is the sea."
JACK,"Elizabeth?  Hide the rum.  You know, these clothes do not flatter you at all.  It should be a dress, or nothing.  Come aboard.  I happen to have no dress in my cabin."
JACK,"Darling, I am truly unhappy to have to tell you this ... Elizabeth braces herself. JACK  ... But through an unfortunate and entirely unforeseeable series of circumstances that have nothing whatsoever to do with me ... poor Will was press-ganged into Davy Jones' crew."
JACK,Bang on.  You look bloody awful. What are you doing here?
JACK,You smell funny.
JACK,Are you certain?  Is that what you really want ... most? Elizabeth is not certain what he's getting at.
JACK,I'd think you'd want to find a way to save Will ... most.
JACK,Well ... there is a chest.
JACK,A chest of of unknown size and origin.
JACK,And whoever possesses that chest possesses the leverage to command Jones do whatever it is he ... or she ... wants.  Including saving our brave William from his grim fate.
JACK,With this. He displays the Compass. JACK  This Compass is unique.
JACK,"True enough, this Compass does not point North."
JACK,It points to the thing you want most in this world.
JACK,"Every word, luv. She decides that he is. He puts the compass in her hands. JACK  What you want most in the world is to find the chest of Davy Jones, is it not?"
JACK,"By finding the chest of Davy Jones. He opens the Compass and steps back quickly, then leans back in to look at, careful not to touch it or Elizabeth. The needle swings, then holds steady.  Jack grins. JACK  Mr. Gibbs!  We have our heading!"
JACK,"Welcome aboard!  Miss Swann? She steps up the ramp.  Norrington is handed a goat, follows."
JACK,"A bit of manual labor is good for you, James --  It builds character. Jack grins, and Norrington suppresses the urge to strangle him. Elizabeth furtively crouches under the stairs. She sets down a stolen bottle of ink and a quill pen.  Unfolds the Letters of Marque, smooths them out. Glances around. She dips the pen into the ink, ready to fill in a name -- Suddenly the Letters are snatched away."
JACK,"These Letters of Marque are supposed to go to me, are they not? Jack glances at the bottom -- and pauses, stunned. JACK  There's a signature."
JACK,Beckett.
JACK,And never said a word of it.
JACK, A discomfiting notion.
JACK,(to Elizabeth re: the Letters) May I inquire as to how you came by these?
JACK,Friendly?
JACK,Funny thing. Will strikes a deal for these and upholds it with honor. But you're the one standing here with the prize. Elizabeth is a bit taken aback by that. JACK  Full pardon ... commission as a privateer on behalf of England and the East India Trading Company ... Norrington looks up at that ... continues scrubbing.
JACK,Persuade me.
JACK,"As I said -- persuade me. Jack grins. Elizabeth stares, considering for moment slapping him or  ... something ... but finally turns and walks away, flushed ... then a slight smile comes crosses her face."
JACK,"Elizabeth, are you well? Everything shipshape and Bristol fashion? She backs away from his breath. Jack is undaunted. JACK  My tremendous intuitive sense of the female creature informs me you are troubled."
JACK,"I like marriage! It's like a wager on who will fall out of love first. Elizabeth moves away from him. He pursues. JACK  You know, I am Captain of a ship.  I could perform a marriage right here, right on this deck, right now."
JACK,"Why not? Admit it ... we are so much alike, you and I. I and you."
JACK,"Trifles. You will come over to my side, in time. I know."
JACK,"One word, luv. Curiosity.  You long for freedom. To do what you want because you want it. To act on selfish impulse. You want to see what it’s like. Someday ... you won’t be able to resist."
JACK,My Compass works just fine.
JACK,I love those moments! I like to wave as they pass by! 84.
JACK,All evidence to the contrary.
JACK,"Do tell, dear. Elizabeth looks at him knowingly. Savors every word, knowing he wants her, and playing into it."
JACK,I want to know what it tastes like.
JACK,I want my jar. 120
JACK,Guard the boat. Mind the tide. He moves off --
JACK,No fraternizing with the help love. Elizabeth starts walking.
JACK,Yes it does. You're sitting on it.
JACK,"Move. Jack unceremoniously shoves Elizabeth aside, makes an ""X"" in the sand with his toe. Looks at Norrington expectantly. Norrington gets the hint, starts digging."
JACK,"I do that a lot, and yet people are still surprised."
JACK,How did you get here?
JACK,"Not so easy, is it?"
JACK,You do?
JACK,What?
JACK,You're welcome. Elizabeth is dismayed. To Jack:
JACK,"Yes. Time and tide, love -- what are you doing? Will has kneeled at the chest, key in hand, his father's knife in the other."
JACK,"I can't let you do that, William. If Jones is dead, then who's to call his beastie off the hunt? Now, if you please -- the key. Will slaps Jack's sword away, jumps back -- another RING as he draws Elizabeth's sword. Faces off against Jack."
JACK,I knew you'd warm up to me eventually. The point of Norrington's sword moves to Jack.
JACK,Ah. The dark side of ambition.
JACK,"Will, we can't let him get the chest. You can trust me on this ...  You can mistrust me less than you can mistrust him. Will really takes a look at Norrington for the first time."
JACK,"Pot. Kettle. Black. They leap back and the fight is on. Will is pushed aside for a moment, long enough to say to Elizabeth:"
JACK,"Hah-hah! Jack races away. Norrington trips Will, kicks his sword away."
JACK,"Let's examine that claim for a moment, shall we, former Commodore.  Who was the man who, at the moment you had a notorious pirate safely behind bars and a beautiful dolly belle bound for the bridal, saw fit to free said pirate and take your dearly beloved for himself? (Jack shoots his eyes toward Will) I was nothing more than an almost innocent bystander to the aforementioned events...so whose fault is it really that you ended up as a rum-pot deck hand who takes orders from pirates."
JACK,"Still rooting for you, mate! On the roof the fight continues."
JACK,Ohh... 135
JACK,"Leave him lie, unless you're going to use him to hit things! All of Jones men are gathered, ready to attack. Too many to fight. Elizabeth and Norrington stand side by side."
JACK,I say we respect his final wish.
JACK,Fell behind.
JACK,"Hallo! Fish-head! Lose something? Hah-hah! Yoo-hoo, over here! Have a look-see! 147"
JACK,"Ahoy ink breath! Squid face! Looking for this? Did you come to negotiate? Hah! Suddenly Jack freezes when he sees -- cannon ports on the Flying Dutchman are opening. Jack fumbles at the jar lid -- JACK  Hold on, now, um, wait, just a second now ... Elizabeth reacts --"
JACK,"Why fight, when you can negotiate?  All one needs is the proper leverage -- Suddenly the Black Pearl LURCHES. Sailors fall forward. The jar is knocked free, tumbles to the deck -- -- the jar SHATTERS. Jack looks -- sand all over the deck."
JACK,"Hello? Where's the heart? The ship groans, shudders ... is PULLED TO A STOP."
JACK,* Abandon ship! Into the longboat! *
JACK,* It's just a ship. * It's a small moment -- they both know they're saying good- bye to the Pearl. *
JACK,* We're not free yet. * She moves toward him. *
JACK,"Pirate. The word stings Elizabeth. At the SHOUTS from the others, she backs away, races across the deck, down onto the long boat -- 167"
JACK,"Huh. Not bad, really. And then Jack notices something -- his hat! Caught on some of the pinkish cilia surrounding the mouth.  Jack leaps for it, snags it, puts it on. Straightens the hat ... he feels a little better now.  Looks up, and faces his doom -- JACK  Hello, beastie. He pulls his sword, and charges forward -- 169"
JACK,"Boatswain! Haul the halyard, slacken braces! PAN UP TO -- surprise! -- JACK SPARROW, a second one, in the rigging. Jack waves and calls down: JACK   Aye, Captain! Slacken braces, men, make all! How does she lie? ON DECK, a sailor turns: JACK SPARROW again."
JACK,"No wind. Nearby are several SMOOTH ROUND STONES. Jack picks one up and FLINGS it, skipping it across the sand. Jack sits down. Looks over. Weirdly, the stone comes rolling back. The stone rocks back and forth, an egg hatching. Cracks appear. The stone transform into a crab. The Crab turns toward Jack. Clicks, like it's laughing. JACK  Perfect. What would my torment be without unusual crabs here to mock me. Jack grabs a handful of sand and flings it. The crab flinches back. Jack collapses. The crab scuttles forward, looks at Jack. Scuttles sideways, looks at the ship. The crab moves away to the pile of stones. Jack sits with his head lowered to his knees, alone in the dunes of the vast desert."
JACK,Interesting. 559
JACK,*  * Mister Gibbs. * Gibbs snaps to attention. *
JACK,* I thought so.  I expect you can account for your actions? * GIBBS   *  * Sir? *
JACK,* There has been a perpetual and virulent lack of discipline upon my vessel!  Why?  Why is that? *
JACK,* I know that.  I know where I am and don't think I don't. *
JACK,* Ah ... Hector.  It's been too long. *
JACK,"* I did not. * ) * Tia Dalma, out and about! You add an agreeable sense of the macabre to any delirium. *"
JACK,"* Ah, William. Tell me, have you come because you need my help to save a certain distressing damsel? I mean, damsel in distress? *  * Either one. *"
JACK,"* Then you wouldn't be here, so you can't be here, Q.E.D, you're not really here. *"
JACK,* The Locker you say. *
JACK,* Have you now?  That's a good one. Very kind of you. * 
JACK,* Can't spot it. Must be a tiny little thing hiding somewhere behind the Pearl. * Barbossa and Jack are about to go at it -- Will steps between. *
JACK,"I leave you folk alone for just a minute, and look what happens."
JACK,Why should I sail with any of you? Four of you have tried to kill me in the past.  One of you succeeded. Will is startled. Jack notices.  (It's news to all of them of course.)
JACK,"That's fair. All right, you're in.  I don't need you.  Gibbs, you get another chance. Marty. Cotton, all right. And Cotton's Parrot, I'm a little iffy, but all right, you're a team -- * Jack comes to Tai Huang. JACK  And you are?"
JACK,Where do your allegiances lie?
JACK,I have a ship.
JACK,"* Weigh anchor!  All hands! Stand by to make way! * He pulls out his Compass. Glances down:  the needle holds steady.  Jack smiles, moves his hand -- the needle doesn't move.  No matter how he fiddles, the needle is frozen in place * BARBOSSA   * Ja-ack. Jack turns. Barbossa holds up the ancient charts."
JACK,Trim that sail! Slack windward brace and sheet! Haul that pennant line!
JACK,The Captain gives orders on a ship.
JACK,"My ship, that makes me Captain."
JACK,"What, this? Just ventilating. Clear out the stench of the previous owner, you know. Thinking of putting in French doors, actually. Feel the cross breeze? Gibbs sticks his head in."
JACK,Two degrees starboard --
JACK,Elizabeth. We're not back yet. He looks her in the eye. Elizabeth stares at him -- and realization dawns. Her next cry is one of anguish:
JACK,"Up is down. That's maddeningly unhelpful. Why are these things never clear? 571 CLOSE ON: Jack's hair, a JUNGLE of GIANT DREADLOCKS, as a small 571 Jack-on-Jack's-shoulder pushes through."
JACK,What? A second small Jack is on Jack's right shoulder.
JACK,Come again?
JACK,That's even more than less than unhelpful.
JACK,I love the sea.
JACK,I prefer rum.  Rum's good.
JACK,Once every ten years.
JACK,"Even longer, given the deficit of rum."
JACK,Oooh I like that.
JACK,Not sun-set.  Sun-down.  And rise ... up! He stands. Points. JACK  Over there! What's that? I don't know! What do you think?
JACK,"There, it moved! Suddenly. It's very fast. Everyone follows -- what is he up to? The ship tilts that way some; the eyeball rolls. Elizabeth can't help but notice the activity. Jack suddenly seems to see something on back the port side -- JACK  Thar! Over thar! He runs to port. Elizabeth follows everyone else to the rail. The ship rocks back."
JACK,"It's not here! He runs across again, everyone follows, and the ship tilts more. Barbossa approaches the map -- sees UP IS DOWN, the upside down ship, the sunset. Picks up the rolling eye. A glare at Ragetti -- and Barbossa hands back the eye, goes back to studying the chart."
JACK,"And now up, is down! The Black Pearl rocks completely over into the water. Waves fill the sails and cause the ship to continue to roll -- 575"
JACK,"I is arguing the point. If there's pirates a-gathering, I'm a-pointing my ship the other a-way."
JACK,Then I’ll be the last pirate. At least then there will be only one of me.
JACK,"Still working on it. But I'm not going back to the Locker, Barbossa. Count on that."
JACK,You lead the shore party. I'll stay with the ship.
JACK,"An unholy one. Jack opens his own telescope, until it is long as Barbossa's ... then opens it further, until it is much longer. It droops at the end. Barbossa looks at him. He smiles. Barbossa snaps his telescope closed. 580"
JACK,"Sometimes things come back. We're living proof, mate."
JACK,"It's still the same size. There's just less in it.  Summoning the Brethren Court, is it?"
JACK,"That's sad commentary, in and of itself. 581"
JACK, He's the Captain. 583
JACK,So now we can call it square.
JACK,Captain Turner?
JACK,"It's always the quiet ones. Elizabeth, unchained now, eyes Will warily."
JACK,But you've no acrimony toward mutineers?
JACK,"He needs the Pearl --  -- and you felt guilty --  -- and you and your Brethren Court ... Didn't anyone come to save me just because they missed me? Gibbs, Marty and Cotton raise their hands -- Pintel and Ragetti see, and follow their lead."
JACK,I'm not certain I can survive any more visits from old friends.
JACK,Thank you for that memory.
JACK,"People aren't cargo, mate."
JACK,What is not?
JACK,"By my reckoning, that account's been settled."
JACK,Close your eyes and pretend it's all a bad dream. That's how I get by. Beckett's control lapses momentarily; he says something he's wanted to say for a long time.
JACK,"And you spared me any possibility of ending up as anything other than what I am. And for that, I thank you. He picks up a couple of the model ships from the table, pretends to ""sail"" them. JACK  Will someone be in soon to draw you a bath? Beckett takes them from Jack, puts them back in their places."
JACK,"If you're offering me a seat on the board, I am neither depraved enough nor drunk enough to accept. Beckett hands one of the GLASSES of sherry to Jack, who's a bit surprised. Beckett toasts him."
JACK,"Regarding the Brethren Court, no doubt. In exchange for fair compensation? Square my debt with Jones, guarantee my freedom?"
JACK,"Were I in a divulgatory mood, what might I divulge?"
JACK,I think I'd prefer to maintain my monopoly on those answers. It's just good business.
JACK,"I've been. Once you've taken in the view, there's not much else to it. "
JACK,With a frilly linen napkin and a spicy banana on the side. 585
JACK,"You can keep Barbossa. The belligerent homunculus and his friend with the wooden eye, both. And Turner. Especially Turner. If he were twins, you could have all three of 'em. Beckett notes that, suspicion behind his eyes."
JACK,What interest is she to you?
JACK,"Points to the thing you want most. And that's not the Brethren Court, is it?"
JACK,"Me.  Dead. He gestures to the compass: try it. Beckett opens the compass. From his reaction, it points to Jack. Jack scuttles sideways. From Beckett's reaction, the needle follows him."
JACK,"With me killed, then you'll arrive at the Cove, find it's a stronghold, nigh impregnable, able to withstand blockade for years, and you'll be wishing, oh, if only there was someone who you had not killed inside to ensure that the pirates come outside."
JACK,"You may kill me, but you may never insult me. Who am I?  I'm Captain Jack Sparrow, mate. Do we have an accord? He nods, indicating his still-extended hand. Beckett hesitates -- THE SHIP IS ROCKED BY CANNON FIRE. Beckett falls forward. Jack grabs his hand, shakes it -- JACK  Done! -- scoops up his effects and heads for the door 587"
JACK,"Oh thank goodness. Because if I am in fact not living some wretched fever dream, I doubt this will work. Jack lights the cannon -- Beckett dives out of the way as it FIRES -- the ball hits the mast behind him, cracking it. The RECOIL shoves the cannon violently back; it SMASHES through the rail -- and PLUMMETS -- Jack hangs on as the rope pulls him upwards and out, flying across --"
JACK,"Tell me you didn't miss me. Barbossa turns away in disgust. Jack hops down, comes face- to-face with Will. JACK  Send this piss-yellow traitor to the brig. Will is dragged away -- 591 ON THE ENDEAVOUR, OFFICER GROVES steps up to Beckett. 591"
JACK,"That's odd, isn't it? He drops down to the forecastle, looks over Will's handiwork. JACK  But not so odd as this. You came up with this all on your lonesome?"
JACK,And this is what you arrived at? Lead Beckett to Shipwreck Cove so as to win his trust and accomplish your own ends? It's like you don't know me at all.
JACK,And how does your dearly beloved feel about your plan? Will returns to his work without answering. JACK  Ah. You've not seen fit to trust her with it.
JACK,"If you choose to lock your heart away, you will lose her for certain. But if I might offer an exceedingly simple solution: Don't save your father."
JACK,"""Can't"" is a matter of fact. "
JACK,"Death has a way of reshuffling one's priorities. I slip aboard the Dutchman, I find the heart and stab the beating thing. Your father goes free from his debt, and you are free to be with your charming murderess."
JACK,"No, I am free forever. Free to sail the seas, beyond the edges of he map, free from death itself. Crew aboard the Dutchman is one thing, but Captain? Sign me up."
JACK,I don't have the face for tentacles. 
JACK,Think like me. It'll come to you. Will puzzles -- then realizes exactly what Jack is going to do just a half-a-second too late -- and Jack SHOVES HIM OVER
JACK," Give my regards to Davy Jones! He smile broadly, waves, disappears."
JACK,"You know, for all that pirates are clever clogs capable of the most underhanded and duplicitous thinking ... we are an unimaginative lot when it comes to naming things."
JACK,"Step out, Mr. Cotton.  There's some dangerous cross tides ahead that will prove a trick to navigate."
JACK,If you knew how many died making it deep enough -- you'd believe. They sail toward a distant light. The ship passes outside -- 611
JACK,And I owe all of them money. 612
JACK,"We're still short one Pirate Lord. I'm content to wait until Sao Feng joins us. ELIZABETH  Sao Feng is dead. Elizabeth stands in the doorway, with Huang behind her. She starts in; Huang touches her shoulder, gestures to the globe. ELIZABETH  Before he died, he named me captain of the Empress, and passed his lordship onto me."
JACK,Captain? Captain? They're just giving the title away now. Sumbhajee makes a small gesture to Ashay.
JACK,"Hers, I'll wager."
JACK, Not among us.
JACK,Shoot him and then cut out his tongue! And then shoot his tongue. And trim that scraggly beard.
JACK,This is politics.
JACK,Or at least grant 'em to the one of us who summoned the rest of us and connived all of us to set her free. Barbossa shoots him a glare. The other pirates eye Barbossa suspiciously. JACK  It's not impossible. Is it so improbable?
JACK,"Cuttlefish. Nasty little buggers. Pen 'em up together, and they'll devour each other without a second thought. So, yes, we could hole up here, well-provisioned and well-armed, and half of us will be dead within the month, and half of the other half dead the month after that. The pirate lords can't argue with that. JACK  Or, we can release Calypso, and we can pray she'll be in a merciful mood.  But can we pretend that she is anything other than a woman scorned, like which fury hell hath no? No, we cannot. Res ipso loquitur, tabula in naufragi, we are left with only one option. I agree with --  Captain Swann: we must fight."
JACK,"Slander and calumny! I have only ever embraced that oldest, noblest of all pirate traditions. My fellow mariners and shellbacks, I submit that here, now, that is what we all must do. We must fight to run away!"
JACK,"Ah, but Jones does have a body, doesn't he? Such as it is."
JACK,You made that up.
JACK,"""It be the duties of the King to declare war, parley with shared adversaries, co-ordinate forces ..."" Fancy that."
JACK,I call for a vote! Barbossa is dismayed.
JACK,Elizabeth Swann.
JACK,"Ah. Am I to understand, then, that we will not keep to code? SPLANG! One of Teague's mandolin strings breaks. Jack knows Teague's got his back on this. The lords exchange glances."
JACK,And where did that honest streak end me up? Dead.
JACK,"Mr. Gibbs. You've a ship to ready for battle, don't you? Gibbs is taken aback. Fine, if that's how he wants it:"
JACK,"What? You've seen it all. And survived. That's the trick, isn't it? To survive."
JACK,Parlay? 623
JACK,Me? My hands are clean in this. Figuratively.
JACK,There! Listen to the tool.
JACK,Even if that was my plan -- and I'm not admitting to anything -- there's not a tinker's chance of it coming off anymore.  Is there?
JACK,That debt was paid.  With some help.
JACK,Not done.
JACK,"Elizabeth, love, you're condemning me. Again."
JACK,"As you command, your nibs. He starts to cross to Beckett -- Barbossa grabs Jack's shoulder and whirls him around even as he draws his sword."
JACK,"First to the finish, then. Will and Jack complete the cross. Jones shoves Jack down."
JACK,You have no idea.
JACK,Poppycock?
JACK,I've never even thought 'poppycock.'
JACK,"I did not -- All three suddenly clutch their heads and yell in pain. They look over at Wyvern Jack -- he's got his BRAIN in his HAND. He squeezes it again; again, all three clutch their heads and yell in pain."
JACK,Stop it! Stop! You're giving me a terrible headache -- And that reminds him of something: JACK  The whelp.
JACK,-- Think like the whelp Think like the whelp Think like the whelp --
JACK,"Wish us luck, boys. We might need it. He moves past the bars. The Jacks watch him go."
JACK,"Good one.  I just came to see my effects.  Admirable though it is, why are you here when you could be somewhere else?"
JACK,"(looking for an escape route) To my great regret.  But it's never too late, he? Jack sheathes his sword, tips his hat -- JACK  And now, anon, adieu. Grabs a sail, loosens the bottom tie. The sail, partially free, fills with wind, and carries Jack to the upper rigging. 654"
JACK,"I can set you free, Jones."
JACK,"I already have the key. For a moment, Jones almost believes him, but then smiles, display the key at the end of a tentacle."
JACK,"Oh, that key. With his half sword, Jack slices at Jones' tentacles. BLACK INK sprays everywhere. The key falls -- -- lands on the deck of the Dutchman amid the splatter. Still clutched by a writhing tentacle fragment. Livid, Jones shoves Jack backwards -- Jack slashes down -- his sword is STOPPED by Jones' claw. Jones squeezes and Jack's sword is snapped in half. 658"
JACK,"Hullo, that's mine! Jack grabs the pistol from the Crewman as he head-butts him off the line. Jack comes swinging back around behind Jones, FIRES the pistol --"
